acyl_chlorides,amines,Controls,HTE_rate (old),Fast_unmeasurable,Slow_unreliable,amine_smiles,acid_smiles,test splits,HTE_rate_corrected (all),HTE_rate_corrected,predicted_bias_correction,classified_rate,NMR_rate
4,11,40.34542314,48.1861973,FALSE,TRUE,CSc1ccccc1N,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,40.28226465,40.28226465,7.903932652,0,
4,12,40.34542314,109.4672445,FALSE,FALSE,Nc1ccccc1c2ccccc2,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,108.0298988,109.4672445,1.437345682,0,
4,13,40.34542314,615.5691888,FALSE,FALSE,CC(C)(C)c1ccc(N)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,615.5251935,615.5691888,0.04399532,0,
4,14,40.34542314,94.8611048,FALSE,FALSE,CC(C)NC(C)C,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,94.82783142,94.8611048,0.033273377,0,
4,15,40.34542314,88.38387062,FALSE,FALSE,Nc1ccc(Br)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,87.13448844,88.38387062,1.249382178,0,
4,16,40.34542314,0,TRUE,FALSE,CC1CCCCN1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,0,0,0,1,
4,17,40.34542314,144.7573865,FALSE,FALSE,Nc1cccc2cccnc12,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,144.7041005,144.7573865,0.053285954,0,
4,18,40.34542314,87.79057592,FALSE,FALSE,CC(=O)c1cccc(N)c1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,87.14967625,87.79057592,0.640899674,0,
4,19,40.34542314,0,TRUE,FALSE,C1COCCN1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,0,0,0,1,
4,20,40.34542314,65.26195401,FALSE,FALSE,COc1ccc(cc1N)C(F)(F)F,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,63.87783357,65.26195401,1.384120436,0,
4,21,40.34542314,375.8227251,FALSE,FALSE,COCCOc1ccccc1N,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,375.8034212,375.8227251,0.019303933,0,
4,22,40.34542314,1024,FALSE,FALSE,CCC(N)CC,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,1023.979146,1024,0.020853887,0,
4,23,40.34542314,89.28788278,FALSE,FALSE,CC1CCCC(C)N1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,88.122011,89.28788278,1.165871778,0,
4,24,40.34542314,148.3011137,FALSE,FALSE,Nc1ccc(C=C)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,147.7558661,148.3011137,0.545247635,0,
4,25,40.34542314,1024,FALSE,FALSE,Cc1ccc(N)cc1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,1023.995663,1024,0.004336622,0,
4,26,40.34542314,494.1772152,FALSE,FALSE,Cc1cccc(N)c1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,494.1728786,494.1772152,0.004336622,0,
4,27,40.34542314,106.2227814,FALSE,FALSE,CC(C)NC1CCCCC1,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,104.9678822,106.2227814,1.254899151,0,
4,28,40.34542314,336.1305809,FALSE,FALSE,COc1ccccc1N,Fc1ccc(c(F)c1)C(Cl)=O,TRAIN,335.9165056,336.1305809,0.214075277,0,
